feature,coefficient,std_err,p_value,ci_lower,ci_upper,significant
incident_count,0.21827920219174307,0.0883991188702796,0.01888658270207755,0.038429842569116746,0.3981285618143694,*
education_records,0.12420759922749103,0.0558089366597211,0.03298833757055099,0.010663463858907263,0.2377517345960748,*
progress_avg,0.022216439695936,0.007479687141077415,0.005512241965453564,0.006998901787278893,0.037433977604593105,**
energy_score_latest,-0.9174926029861885,0.38074615007365853,0.021701704068169438,-1.6921264697559883,-0.14285873621638867,*
