feature,coefficient,std_err,p_value,ci_lower,ci_upper,significant
safety_concern_rate,2.971738552361458,1.282839479203534,0.028357808455857655,0.3395693611859718,5.603907743536944,*
religion_None,1.8723082212362936,0.8500843265082922,0.03635115847119557,0.12807925852498947,3.6165371839475977,*
reintegration_type_Independent Living,-1.20714873072808,0.5830124665817475,0.048088334897869886,-2.4033915011489517,-0.01090596030720814,*
reintegration_type_Family Reunification,-1.2980929803844787,0.5767552980639247,0.032753631071882755,-2.481497101493722,-0.11468885927523575,*
reintegration_type_None,-1.307386488480072,0.6026042425801315,0.03901089397824848,-2.543828262766474,-0.07094471419367032,*
reintegration_type_Foster Care,-1.4251384160006717,0.5623067307159867,0.017370529650742834,-2.578896525705995,-0.2713803062953484,*
