feature,coefficient,std_err,p_value,ci_lower,ci_upper,significant
occupancy_rate,0.054289180340487575,0.13653342636877505,0.6911412282608914,-0.2142115966870471,0.32278995736802224,(ns)
visitation_per_resident,-0.04055101637554577,0.06042282369626962,0.5025727275483961,-0.15937594843889602,0.07827391568780447,(ns)
region_Selangor,0.03324515930317542,0.021017837360074648,0.11458022885713197,-0.008087617678308179,0.07457793628465902,(ns)
capacity_girls,0.006513131191656085,0.020014494125732418,0.7450511991577808,-0.03284651404318426,0.04587277642649643,(ns)
month_num,0.0050202232090970945,0.0021070953542374855,0.017711025472213256,0.0008764999104832333,0.009163946507710956,*
